Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Main Workers - Persons,Main Workers - Males,Main Workers - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0104,`33,`000,State - TAMIL NADU,Total,Total,27937977,18959062,8978915,3855375,2512165,1343210,7234101,3808523,3425578,775870,569026,206844,129437,102188,27249,924404,427454,496950,3815400,2802376,1013024,129675,116117,13558,1979455,1694366,285089,3488,3280,208,2300888,1992794,308094,1292101,1251723,40378,484047,408625,75422,3108,2625,483,440634,345760,94874,497198,423795,73403,1106072,911619,194453,1168267,446531,721736,190859,82004,108855,1607598,1058091,549507
B0104,`33,`000,State - TAMIL NADU,Total,`5-9,37865,20918,16947,8745,4810,3935,8846,4660,4186,347,242,105,25,23,2,242,135,107,881,540,341,43,29,14,614,433,181,0,0,0,514,367,147,164,136,28,54,43,11,0,0,0,64,47,17,71,50,21,218,178,40,256,145,111,1208,691,517,15573,8389,7184
B0104,`33,`000,State - TAMIL NADU,Total,`10-14,113886,68602,45284,16351,9356,6995,30489,16845,13644,2658,2074,584,469,334,135,3069,1342,1727,17855,9670,8185,283,232,51,6195,5159,1036,3,3,0,7483,6038,1445,1776,1688,88,1061,956,105,0,0,0,587,399,188,456,354,102,1148,838,310,1067,453,614,1864,896,968,21072,11965,9107
B0104,`33,`000,State - TAMIL NADU,Total,15-19,981763,625342,356421,92014,53925,38089,267967,154615,113352,20963,16943,4020,4580,3395,1185,30383,11214,19169,226111,126955,99156,1700,1473,227,86291,79030,7261,144,138,6,86608,67830,18778,26338,25340,998,11517,10505,1012,54,40,14,4685,2954,1731,5277,4067,1210,14815,10733,4082,10617,2851,7766,8003,3440,4563,83696,49894,33802
B0104,`33,`000,State - TAMIL NADU,Total,20-24,2520991,1696223,824768,234403,134993,99410,580000,317185,262815,48189,38418,9771,9780,7541,2239,75796,29236,46560,485316,342122,143194,7975,7071,904,216393,198545,17848,314,284,30,208937,176328,32609,127354,122837,4517,34555,31403,3152,333,252,81,83857,52921,30936,37889,26790,11099,90829,67827,23002,97743,25435,72308,16061,5965,10096,165267,111070,54197
B0104,`33,`000,State - TAMIL NADU,Total,25-29,3655580,2524031,1131549,367368,221522,145846,829193,430097,399096,77276,59137,18139,14392,11037,3355,116548,46747,69801,607778,456186,151592,12819,11359,1460,307274,274017,33257,515,489,26,297876,265115,32761,208413,202841,5572,52092,46473,5619,558,449,109,136521,103349,33172,73138,58242,14896,141688,111555,30133,172721,66104,106617,22287,8353,13934,217123,150959,66164
B0104,`33,`000,State - TAMIL NADU,Total,30-34,3601561,2493831,1107730,399423,255537,143886,814341,417281,397060,84981,62557,22424,15470,11739,3731,125934,52523,73411,569646,420929,148717,17841,16046,1795,291891,253088,38803,631,588,43,319300,283816,35484,214785,209604,5181,58733,50652,8081,608,502,106,86482,73604,12878,70370,59953,10417,143281,116194,27087,172873,69944,102929,22035,8599,13436,192936,130675,62261
B0104,`33,`000,State - TAMIL NADU,Total,35-39,3769261,2468181,1301080,456462,280299,176163,948959,454697,494262,99645,69640,30005,19431,14312,5119,131666,53927,77739,542041,384399,157642,21006,19036,1970,296930,245015,51915,519,486,33,325244,281045,44199,203986,198585,5401,69015,56498,12517,509,449,60,47686,41609,6077,68323,58065,10258,146346,118182,28164,179934,64984,114950,23842,9250,14592,187717,117703,70014
B0104,`33,`000,State - TAMIL NADU,Total,40-49,6406577,4320842,2085735,898778,576724,322054,1677685,870522,807163,193841,137839,56002,37241,30162,7079,220191,105268,114923,781120,590061,191059,41084,37039,4045,452623,376581,76042,738,701,37,541769,469774,71995,306251,295974,10277,133677,110170,23507,661,598,63,46722,41080,5642,122529,106462,16067,285491,237971,47520,316659,118369,198290,41245,17527,23718,308272,198020,110252
B0104,`33,`000,State - TAMIL NADU,Total,50-59,4103258,2828382,1274876,709041,475025,234016,1128275,599139,529136,143064,103737,39327,20788,17710,3078,130573,71612,58961,396033,320886,75147,22417,19925,2492,216426,178964,37462,386,365,21,322962,281374,41588,168058,161051,7007,81209,67585,13624,252,229,23,27869,24188,3681,93668,85531,8137,222791,193917,28874,180800,76516,104284,28662,13559,15103,209984,137069,72915
B0104,`33,`000,State - TAMIL NADU,Total,60-69,2004126,1370659,633467,466785,336928,129857,700658,389201,311457,76242,56025,20217,5610,4536,1074,66026,39641,26385,144862,115389,29473,3307,2890,417,81650,65081,16569,167,157,10,142994,121582,21412,27780,26781,999,33337,27140,6197,67,50,17,4398,4118,280,19574,18701,873,44482,40537,3945,27056,16348,10708,17462,8964,8498,141669,96590,45079
B0104,`33,`000,State - TAMIL NADU,Total,70-79,605526,442626,162900,167887,132892,34995,206455,128758,77697,23473,18318,5155,1362,1179,183,19975,13254,6721,35169,28557,6612,877,756,121,18253,14547,3706,53,51,2,38997,32751,6246,5157,4952,205,7400,6057,1343,57,47,10,1032,899,133,4628,4436,192,11998,11122,876,6337,4351,1986,6493,3829,2664,49923,35870,14053
B0104,`33,`000,State - TAMIL NADU,Total,80+,120663,88365,32298,35780,28688,7092,37470,23589,13881,4750,3810,940,243,193,50,3604,2336,1268,6784,5355,1429,224,184,40,3689,2893,796,18,18,0,7081,5839,1242,1392,1336,56,1145,925,220,9,9,0,468,392,76,980,897,83,2216,1976,240,1365,727,638,1504,847,657,11941,8351,3590
B0104,`33,`000,State - TAMIL NADU,Total,Age not stated,16920,11060,5860,2338,1466,872,3763,1934,1829,441,286,155,46,27,19,397,219,178,1804,1327,477,99,77,22,1226,1013,213,0,0,0,1123,935,188,647,598,49,252,218,34,0,0,0,263,200,63,295,247,48,769,589,180,839,304,535,193,84,109,2425,1536,889
B0104,`33,`000,State - TAMIL NADU,Rural,Total,15338578,9551440,5787138,3526374,2276871,1249503,6252943,3240547,3012396,420307,298380,121927,71616,54244,17372,461451,200089,261362,1212209,850717,361492,47713,44402,3311,777016,650733,126283,1775,1673,102,591213,495790,95423,456647,447170,9477,145831,121257,24574,897,804,93,57481,47998,9483,92294,81238,11056,248823,208483,40340,386639,143592,243047,94731,41426,53305,492618,346026,146592
B0104,`33,`000,State - TAMIL NADU,Rural,`5-9,22313,12049,10264,7630,4202,3428,8275,4325,3950,207,153,54,20,20,0,125,51,74,309,187,122,16,10,6,238,151,87,0,0,0,155,115,40,31,25,6,17,17,0,0,0,0,12,12,0,15,3,12,47,47,0,108,77,31,320,151,169,4788,2503,2285
B0104,`33,`000,State - TAMIL NADU,Rural,`10-14,70062,40759,29303,14774,8461,6313,27726,15202,12524,1901,1460,441,331,236,95,1773,740,1033,8137,4018,4119,116,108,8,2935,2457,478,3,3,0,2913,2346,567,741,722,19,398,367,31,0,0,0,92,60,32,111,103,8,313,240,73,401,170,231,641,259,382,6756,3807,2949
B0104,`33,`000,State - TAMIL NADU,Rural,15-19,622190,383087,239103,85519,49586,35933,240028,136904,103124,14358,11376,2982,3298,2427,871,18029,6045,11984,108967,57223,51744,704,623,81,47569,44058,3511,72,72,0,34034,27082,6952,14793,14437,356,5689,5229,460,24,18,6,1217,710,507,1829,1420,409,4742,3012,1730,5049,1229,3820,4172,1616,2556,32097,20020,12077
B0104,`33,`000,State - TAMIL NADU,Rural,20-24,1436883,921575,515308,219816,125551,94265,516134,277710,238424,30498,24138,6360,6921,5302,1619,43053,15406,27647,200818,140876,59942,3395,3091,304,107890,99310,8580,194,176,18,71179,60600,10579,63329,61766,1563,14470,13358,1112,115,91,24,12790,9142,3648,9528,7510,2018,24301,18938,5363,40155,10427,29728,9242,3455,5787,63055,44728,18327
B0104,`33,`000,State - TAMIL NADU,Rural,25-29,1970034,1258839,711195,343197,205446,137751,729222,371335,357887,45493,34129,11364,9724,7302,2422,62958,23679,39279,216438,160967,55471,5010,4487,523,136629,120589,16040,314,293,21,88493,78487,10006,91407,89741,1666,18505,16365,2140,199,185,14,19011,15810,3201,16562,14038,2524,36363,29694,6669,62577,26189,36388,12616,4794,7822,75316,55309,20007
B0104,`33,`000,State - TAMIL NADU,Rural,30-34,1863118,1177733,685385,369814,234776,135038,706924,356065,350859,47059,33845,13214,9775,7240,2535,63550,25238,38312,177674,127252,50422,7185,6639,546,115615,97721,17894,348,329,19,82690,72118,10572,82307,80944,1363,17875,15017,2858,192,164,28,9725,8804,921,14602,12890,1712,32980,27170,5810,53810,23052,30758,11134,4502,6632,59859,43967,15892
B0104,`33,`000,State - TAMIL NADU,Rural,35-39,1981352,1165058,816294,420380,255710,164670,818519,385105,433414,54181,36579,17602,11551,8157,3394,64855,24788,40067,153566,104322,49244,8074,7630,444,111095,88604,22491,240,226,14,77962,64871,13091,70285,69046,1239,20378,16092,4286,126,121,5,5050,4557,493,13151,11486,1665,32769,26619,6150,54046,19469,34577,11418,4763,6655,53706,36913,16793
B0104,`33,`000,State - TAMIL NADU,Rural,40-49,3384268,2060951,1323317,820397,521511,298886,1435822,733412,702410,100153,68424,31729,17538,13509,4029,104142,47136,57006,202667,146118,56549,14549,13738,811,153082,121580,31502,336,318,18,120985,99784,21201,87275,85434,1841,36512,29127,7385,159,151,8,5484,5102,382,20606,18829,1777,61534,52709,8825,97905,35363,62542,19401,8547,10854,85721,60159,25562
B0104,`33,`000,State - TAMIL NADU,Rural,50-59,2230737,1377044,853693,640751,425173,215578,959439,500726,458713,70936,49070,21866,8269,6659,1610,59980,31084,28896,93244,71267,21977,7152,6693,459,67086,51148,15938,151,145,6,68002,55112,12890,39195,38081,1114,20981,16855,4126,53,53,0,3382,3152,230,12876,12177,699,45222,40658,4564,63870,23113,40757,13437,6381,7056,56711,39497,17214
B0104,`33,`000,State - TAMIL NADU,Rural,60-69,1271600,811201,460399,420698,301933,118765,598740,328498,270242,40410,27938,12472,3272,2609,663,31401,18283,13118,37773,28670,9103,1134,1043,91,27096,19418,7678,78,72,6,33098,25965,7133,5765,5540,225,8693,6915,1778,6,6,0,528,504,24,2357,2179,178,7989,7125,864,6530,3276,3254,8353,4554,3799,37679,26673,11006
B0104,`33,`000,State - TAMIL NADU,Rural,70-79,398237,281382,116855,149590,117911,31679,176553,109437,67116,12305,9161,3144,724,643,81,9729,6463,3266,10054,7915,2139,270,239,31,6099,4448,1651,27,27,0,9638,7645,1993,935,877,58,1935,1603,332,23,15,8,88,72,16,456,418,38,2045,1854,191,1426,904,522,3176,1959,1217,13164,9791,3373
B0104,`33,`000,State - TAMIL NADU,Rural,80+,78540,56196,22344,31665,25285,6380,32212,20128,12084,2531,1937,594,156,122,34,1634,1050,584,2020,1534,486,72,65,7,1202,868,334,12,12,0,1740,1401,339,343,333,10,307,253,54,0,0,0,72,55,17,139,125,14,369,319,50,387,163,224,679,383,296,3000,2163,837
B0104,`33,`000,State - TAMIL NADU,Rural,Age not stated,9244,5566,3678,2143,1326,817,3349,1700,1649,275,170,105,37,18,19,222,126,96,542,368,174,36,36,0,480,381,99,0,0,0,324,264,60,241,224,17,71,59,12,0,0,0,30,18,12,62,60,2,149,98,51,375,160,215,142,62,80,766,496,270
B0104,`33,`000,State - TAMIL NADU,Urban,Total,12599399,9407622,3191777,329001,235294,93707,981158,567976,413182,355563,270646,84917,57821,47944,9877,462953,227365,235588,2603191,1951659,651532,81962,71715,10247,1202439,1043633,158806,1713,1607,106,1709675,1497004,212671,835454,804553,30901,338216,287368,50848,2211,1821,390,383153,297762,85391,404904,342557,62347,857249,703136,154113,781628,302939,478689,96128,40578,55550,1114980,712065,402915
B0104,`33,`000,State - TAMIL NADU,Urban,`5-9,15552,8869,6683,1115,608,507,571,335,236,140,89,51,5,3,2,117,84,33,572,353,219,27,19,8,376,282,94,0,0,0,359,252,107,133,111,22,37,26,11,0,0,0,52,35,17,56,47,9,171,131,40,148,68,80,888,540,348,10785,5886,4899
B0104,`33,`000,State - TAMIL NADU,Urban,`10-14,43824,27843,15981,1577,895,682,2763,1643,1120,757,614,143,138,98,40,1296,602,694,9718,5652,4066,167,124,43,3260,2702,558,0,0,0,4570,3692,878,1035,966,69,663,589,74,0,0,0,495,339,156,345,251,94,835,598,237,666,283,383,1223,637,586,14316,8158,6158
B0104,`33,`000,State - TAMIL NADU,Urban,15-19,359573,242255,117318,6495,4339,2156,27939,17711,10228,6605,5567,1038,1282,968,314,12354,5169,7185,117144,69732,47412,996,850,146,38722,34972,3750,72,66,6,52574,40748,11826,11545,10903,642,5828,5276,552,30,22,8,3468,2244,1224,3448,2647,801,10073,7721,2352,5568,1622,3946,3831,1824,2007,51599,29874,21725
B0104,`33,`000,State - TAMIL NADU,Urban,20-24,1084108,774648,309460,14587,9442,5145,63866,39475,24391,17691,14280,3411,2859,2239,620,32743,13830,18913,284498,201246,83252,4580,3980,600,108503,99235,9268,120,108,12,137758,115728,22030,64025,61071,2954,20085,18045,2040,218,161,57,71067,43779,27288,28361,19280,9081,66528,48889,17639,57588,15008,42580,6819,2510,4309,102212,66342,35870
B0104,`33,`000,State - TAMIL NADU,Urban,25-29,1685546,1265192,420354,24171,16076,8095,99971,58762,41209,31783,25008,6775,4668,3735,933,53590,23068,30522,391340,295219,96121,7809,6872,937,170645,153428,17217,201,196,5,209383,186628,22755,117006,113100,3906,33587,30108,3479,359,264,95,117510,87539,29971,56576,44204,12372,105325,81861,23464,110144,39915,70229,9671,3559,6112,141807,95650,46157
B0104,`33,`000,State - TAMIL NADU,Urban,30-34,1738443,1316098,422345,29609,20761,8848,107417,61216,46201,37922,28712,9210,5695,4499,1196,62384,27285,35099,391972,293677,98295,10656,9407,1249,176276,155367,20909,283,259,24,236610,211698,24912,132478,128660,3818,40858,35635,5223,416,338,78,76757,64800,11957,55768,47063,8705,110301,89024,21277,119063,46892,72171,10901,4097,6804,133077,86708,46369
B0104,`33,`000,State - TAMIL NADU,Urban,35-39,1787909,1303123,484786,36082,24589,11493,130440,69592,60848,45464,33061,12403,7880,6155,1725,66811,29139,37672,388475,280077,108398,12932,11406,1526,185835,156411,29424,279,260,19,247282,216174,31108,133701,129539,4162,48637,40406,8231,383,328,55,42636,37052,5584,55172,46579,8593,113577,91563,22014,125888,45515,80373,12424,4487,7937,134011,80790,53221
B0104,`33,`000,State - TAMIL NADU,Urban,40-49,3022309,2259891,762418,78381,55213,23168,241863,137110,104753,93688,69415,24273,19703,16653,3050,116049,58132,57917,578453,443943,134510,26535,23301,3234,299541,255001,44540,402,383,19,420784,369990,50794,218976,210540,8436,97165,81043,16122,502,447,55,41238,35978,5260,101923,87633,14290,223957,185262,38695,218754,83006,135748,21844,8980,12864,222551,137861,84690
B0104,`33,`000,State - TAMIL NADU,Urban,50-59,1872521,1451338,421183,68290,49852,18438,168836,98413,70423,72128,54667,17461,12519,11051,1468,70593,40528,30065,302789,249619,53170,15265,13232,2033,149340,127816,21524,235,220,15,254960,226262,28698,128863,122970,5893,60228,50730,9498,199,176,23,24487,21036,3451,80792,73354,7438,177569,153259,24310,116930,53403,63527,15225,7178,8047,153273,97572,55701
B0104,`33,`000,State - TAMIL NADU,Urban,60-69,732526,559458,173068,46087,34995,11092,101918,60703,41215,35832,28087,7745,2338,1927,411,34625,21358,13267,107089,86719,20370,2173,1847,326,54554,45663,8891,89,85,4,109896,95617,14279,22015,21241,774,24644,20225,4419,61,44,17,3870,3614,256,17217,16522,695,36493,33412,3081,20526,13072,7454,9109,4410,4699,103990,69917,34073
B0104,`33,`000,State - TAMIL NADU,Urban,70-79,207289,161244,46045,18297,14981,3316,29902,19321,10581,11168,9157,2011,638,536,102,10246,6791,3455,25115,20642,4473,607,517,90,12154,10099,2055,26,24,2,29359,25106,4253,4222,4075,147,5465,4454,1011,34,32,2,944,827,117,4172,4018,154,9953,9268,685,4911,3447,1464,3317,1870,1447,36759,26079,10680
B0104,`33,`000,State - TAMIL NADU,Urban,80+,42123,32169,9954,4115,3403,712,5258,3461,1797,2219,1873,346,87,71,16,1970,1286,684,4764,3821,943,152,119,33,2487,2025,462,6,6,0,5341,4438,903,1049,1003,46,838,672,166,9,9,0,396,337,59,841,772,69,1847,1657,190,978,564,414,825,464,361,8941,6188,2753
B0104,`33,`000,State - TAMIL NADU,Urban,Age not stated,7676,5494,2182,195,140,55,414,234,180,166,116,50,9,9,0,175,93,82,1262,959,303,63,41,22,746,632,114,0,0,0,799,671,128,406,374,32,181,159,22,0,0,0,233,182,51,233,187,46,620,491,129,464,144,320,51,22,29,1659,1040,619
B0104,`33,`602,District - Thiruvallur,Total,Total,1250173,946474,303699,60436,43918,16518,173150,97402,75748,24888,21572,3316,1620,1430,190,32139,20015,12124,256795,211326,45469,11945,10868,1077,123948,107594,16354,192,188,4,108544,92996,15548,88689,85273,3416,20782,17463,3319,194,164,30,37340,28891,8449,32324,27301,5023,118841,100742,18099,58291,22370,35921,9664,4154,5510,90391,52807,37584
B0104,`33,`602,District - Thiruvallur,Total,`5-9,2307,1238,1069,355,185,170,232,119,113,16,8,8,0,0,0,9,3,6,97,71,26,0,0,0,60,46,14,0,0,0,30,22,8,22,20,2,3,3,0,0,0,0,9,6,3,8,8,0,46,33,13,38,29,9,46,32,14,1336,653,683
B0104,`33,`602,District - Thiruvallur,Total,`10-14,4850,2915,1935,529,296,233,760,426,334,115,101,14,2,2,0,120,68,52,805,501,304,14,5,9,303,221,82,0,0,0,290,191,99,76,71,5,23,19,4,0,0,0,44,33,11,29,17,12,128,107,21,66,26,40,92,48,44,1454,783,671
B0104,`33,`602,District - Thiruvallur,Total,15-19,41644,27275,14369,1631,951,680,6523,3732,2791,877,812,65,39,33,6,1058,520,538,11949,7313,4636,169,143,26,3304,2843,461,7,7,0,3215,2446,769,1186,1124,62,392,355,37,0,0,0,361,216,145,361,277,84,2747,2270,477,663,222,441,528,230,298,6634,3781,2853
B0104,`33,`602,District - Thiruvallur,Total,20-24,123428,88405,35023,3913,2389,1524,14422,8024,6398,1846,1625,221,115,110,5,2723,1494,1229,33954,25599,8355,808,721,87,10594,9458,1136,5,5,0,8701,7275,1426,7592,7192,400,1388,1203,185,36,18,18,7229,4351,2878,2693,1829,864,13145,10402,2743,4487,1296,3191,830,300,530,8947,5114,3833
B0104,`33,`602,District - Thiruvallur,Total,25-29,183077,139145,43932,5987,4061,1926,21148,11787,9361,2959,2610,349,208,179,29,3962,2237,1725,44310,36589,7721,1038,933,105,17750,15795,1955,20,18,2,14355,12780,1575,13689,13147,542,2213,1941,272,36,32,4,11909,8864,3045,4872,3813,1059,17389,14109,3280,8314,3171,5143,1212,480,732,11706,6599,5107
B0104,`33,`602,District - Thiruvallur,Total,30-34,178585,137715,40870,6346,4479,1867,20138,10986,9152,2673,2341,332,249,217,32,4545,2781,1764,41505,34284,7221,1614,1456,158,18594,16177,2417,32,32,0,16099,14168,1931,14103,13674,429,2848,2467,381,27,24,3,7705,6569,1136,4977,4296,681,16701,13989,2712,9546,3770,5776,998,366,632,9885,5639,4246
B0104,`33,`602,District - Thiruvallur,Total,35-39,181994,135784,46210,7577,5267,2310,24598,12827,11771,3563,3086,477,300,246,54,4636,2631,2005,38196,31181,7015,2003,1867,136,20282,17258,3024,29,29,0,16856,14266,2590,14044,13641,403,3148,2549,599,36,33,3,4235,3768,467,4919,4162,757,16017,13410,2607,9931,3533,6398,1287,510,777,10337,5520,4817
B0104,`33,`602,District - Thiruvallur,Total,40-49,285270,220176,65094,14515,10753,3762,41252,23514,17738,6213,5324,889,436,395,41,7606,5051,2555,51679,44662,7017,3935,3655,280,31987,27778,4209,52,50,2,26918,23126,3792,22398,21529,869,5602,4688,914,44,44,0,3523,3095,428,7688,6692,996,27763,24044,3719,15309,5636,9673,2174,932,1242,16176,9208,6968
B0104,`33,`602,District - Thiruvallur,Total,50-59,167225,131640,35585,10531,8152,2379,25232,14687,10545,4002,3457,545,214,201,13,4559,3122,1437,25975,23609,2366,2021,1793,228,15047,13099,1948,47,47,0,14657,12597,2060,13263,12671,592,3577,2971,606,10,8,2,1903,1626,277,5338,4845,493,19695,17570,2125,8190,3655,4535,1324,624,700,11640,6906,4734
B0104,`33,`602,District - Thiruvallur,Total,60-69,60935,46166,14769,6267,5072,1195,14192,8279,5913,1977,1646,331,50,40,10,2216,1575,641,6443,5860,583,264,230,34,4608,3786,822,0,0,0,5722,4748,974,1832,1748,84,1256,1000,256,3,3,0,290,274,16,1123,1081,42,3983,3699,284,1372,808,564,820,443,377,8517,5874,2643
B0104,`33,`602,District - Thiruvallur,Total,70-79,15992,12457,3535,2193,1840,353,3797,2488,1309,549,490,59,5,5,0,551,421,130,1277,1135,142,55,44,11,1008,805,203,0,0,0,1369,1113,256,302,290,12,263,208,55,2,2,0,59,47,12,207,190,17,947,870,77,265,179,86,256,159,97,2887,2171,716
B0104,`33,`602,District - Thiruvallur,Total,80+,3823,2772,1051,530,424,106,750,464,286,91,67,24,2,2,0,146,106,40,389,335,54,15,15,0,282,224,58,0,0,0,249,191,58,122,116,6,57,47,10,0,0,0,47,30,17,63,50,13,189,161,28,74,33,41,83,21,62,734,486,248
B0104,`33,`602,District - Thiruvallur,Total,Age not stated,1043,786,257,62,49,13,106,69,37,7,5,2,0,0,0,8,6,2,216,187,29,9,6,3,129,104,25,0,0,0,83,73,10,60,50,10,12,12,0,0,0,0,26,12,14,46,41,5,91,78,13,36,12,24,14,9,5,138,73,65
B0104,`33,`602,District - Thiruvallur,Rural,Total,440386,305025,135361,52553,38116,14437,160079,89129,70950,14250,11912,2338,650,590,60,12394,7474,4920,64826,52312,12514,3676,3416,260,30394,24626,5768,88,86,2,20084,16336,3748,19218,18540,678,3788,2974,814,46,40,6,3104,2582,522,3734,3360,374,18288,15996,2292,12494,5032,7462,3484,1692,1792,17236,10812,6424
B0104,`33,`602,District - Thiruvallur,Rural,`5-9,842,425,417,219,120,99,209,105,104,4,2,2,0,0,0,6,0,6,44,36,8,0,0,0,8,2,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,6,2,2,0,318,132,186
B0104,`33,`602,District - Thiruvallur,Rural,`10-14,2229,1226,1003,365,202,163,710,396,314,86,72,14,2,2,0,66,36,30,358,180,178,8,2,6,82,48,34,0,0,0,76,34,42,24,24,0,0,0,0,0,0,0,2,0,2,14,8,6,32,26,6,34,14,20,36,18,18,334,164,170
B0104,`33,`602,District - Thiruvallur,Rural,15-19,19514,12379,7135,1312,783,529,5894,3352,2542,632,580,52,18,12,6,442,212,230,5762,3436,2326,86,76,10,1140,1038,102,2,2,0,944,756,188,478,470,8,108,106,2,0,0,0,66,28,38,80,74,6,596,420,176,284,106,178,144,46,98,1526,882,644
B0104,`33,`602,District - Thiruvallur,Rural,20-24,46742,33020,13722,3332,2030,1302,13318,7362,5956,1228,1058,170,64,64,0,1006,516,490,12348,9718,2630,334,324,10,3272,2878,394,2,2,0,2016,1760,256,2588,2490,98,350,290,60,6,0,6,692,478,214,454,360,94,2324,1992,332,1162,356,806,312,136,176,1934,1206,728
B0104,`33,`602,District - Thiruvallur,Rural,25-29,62867,45671,17196,5163,3488,1675,19534,10779,8755,1802,1552,250,82,82,0,1524,814,710,13038,11064,1974,312,276,36,4714,4082,632,6,6,0,2958,2656,302,3678,3570,108,458,384,74,14,14,0,1026,866,160,524,466,58,3374,2984,390,1724,830,894,464,208,256,2472,1550,922
B0104,`33,`602,District - Thiruvallur,Rural,30-34,56030,39431,16599,5448,3840,1608,18558,9979,8579,1518,1296,222,138,126,12,1752,1106,646,9566,7878,1688,494,446,48,4672,3766,906,24,24,0,2858,2384,474,2994,2906,88,540,462,78,0,0,0,504,444,60,596,542,54,2498,2184,314,1766,820,946,326,116,210,1778,1112,666
B0104,`33,`602,District - Thiruvallur,Rural,35-39,60950,40682,20268,6635,4586,2049,22765,11740,11025,2118,1778,340,106,86,20,1680,902,778,8150,6604,1546,636,598,38,4958,3982,976,8,8,0,2934,2318,616,2828,2748,80,488,342,146,12,12,0,328,304,24,672,610,62,2416,2028,388,1856,672,1184,478,212,266,1882,1152,730
B0104,`33,`602,District - Thiruvallur,Rural,40-49,96940,67135,29805,12840,9444,3396,38226,21537,16689,3426,2778,648,180,162,18,2970,1880,1090,9792,8308,1484,1182,1132,50,7056,5632,1424,22,20,2,4478,3582,896,3930,3768,162,936,702,234,14,14,0,304,294,10,824,768,56,3846,3468,378,3024,1180,1844,780,380,400,3110,2086,1024
B0104,`33,`602,District - Thiruvallur,Rural,50-59,57602,39980,17622,9262,7135,2127,23286,13411,9875,2030,1682,348,48,46,2,1742,1150,592,4158,3690,468,514,464,50,3098,2316,782,24,24,0,2448,1880,568,2328,2208,120,610,484,126,0,0,0,170,156,14,464,436,28,2546,2314,232,2338,926,1412,472,282,190,2064,1376,688
B0104,`33,`602,District - Thiruvallur,Rural,60-69,27104,18233,8871,5555,4476,1079,13235,7671,5564,1102,866,236,10,8,2,924,642,282,1208,1058,150,88,78,10,1022,638,384,0,0,0,1072,754,318,300,288,12,230,156,74,0,0,0,6,6,0,80,78,2,496,448,48,198,70,128,326,216,110,1252,780,472
B0104,`33,`602,District - Thiruvallur,Rural,70-79,7678,5550,2128,1935,1620,315,3555,2316,1239,266,226,40,0,0,0,242,186,56,296,252,44,10,8,2,294,192,102,0,0,0,260,180,80,50,48,2,54,36,18,0,0,0,0,0,0,12,6,6,138,114,24,54,28,26,90,58,32,422,280,142
B0104,`33,`602,District - Thiruvallur,Rural,80+,1632,1101,531,436,351,85,698,424,274,36,22,14,2,2,0,40,30,10,86,70,16,12,12,0,60,34,26,0,0,0,26,18,8,12,12,0,14,12,2,0,0,0,6,6,0,2,0,2,8,6,2,18,0,18,48,12,36,128,90,38
B0104,`33,`602,District - Thiruvallur,Rural,Age not stated,256,192,64,51,41,10,91,57,34,2,0,2,0,0,0,0,0,0,20,18,2,0,0,0,18,18,0,0,0,0,12,12,0,8,8,0,0,0,0,0,0,0,0,0,0,12,12,0,14,12,2,6,6,0,6,6,0,16,2,14
