Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Main Workers - Persons,Main Workers - Males,Main Workers - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0104,`33,`618,District - Nagapattinam,Urban,30-34,12799,10688,2111,324,310,14,1191,798,393,896,852,44,32,30,2,144,88,56,1048,916,132,86,80,6,1306,1210,96,0,0,0,2446,2182,264,1190,1154,36,556,510,46,6,6,0,252,226,26,354,320,34,320,258,62,1022,448,574,80,22,58,1546,1278,268
B0104,`33,`618,District - Nagapattinam,Urban,35-39,13697,10791,2906,413,372,41,1430,919,511,938,906,32,34,30,4,156,76,80,1090,968,122,74,58,16,1160,1064,96,0,0,0,2726,2254,472,1184,1164,20,586,498,88,0,0,0,170,160,10,376,306,70,482,356,126,1304,528,776,66,24,42,1508,1108,400
B0104,`33,`618,District - Nagapattinam,Urban,40-49,25607,20685,4922,855,775,80,2664,1782,882,1520,1458,62,124,108,16,458,258,200,1896,1728,168,200,154,46,1836,1686,150,0,0,0,5172,4422,750,1936,1886,50,1210,1048,162,0,0,0,190,164,26,890,834,56,1406,1160,246,2596,1176,1420,102,34,68,2552,2012,540
B0104,`33,`618,District - Nagapattinam,Urban,50-59,16347,13266,3081,788,715,73,1853,1303,550,844,800,44,56,56,0,288,166,122,1018,950,68,138,120,18,936,802,134,0,0,0,2998,2498,500,1158,1116,42,898,790,108,6,6,0,150,144,6,668,618,50,1308,1154,154,1474,732,742,92,34,58,1674,1262,412
B0104,`33,`618,District - Nagapattinam,Urban,60-69,6558,5324,1234,487,447,40,1043,731,312,450,420,30,18,18,0,208,136,72,444,410,34,14,12,2,344,300,44,0,0,0,1412,1128,284,212,212,0,352,316,36,0,0,0,6,6,0,220,218,2,144,124,20,174,112,62,44,16,28,986,718,268
B0104,`33,`618,District - Nagapattinam,Urban,70-79,1889,1570,319,197,178,19,274,206,68,92,82,10,12,12,0,30,16,14,118,110,8,0,0,0,116,94,22,0,0,0,350,286,64,40,40,0,76,72,4,0,0,0,6,6,0,24,24,0,50,48,2,76,74,2,16,10,6,412,312,100
B0104,`33,`618,District - Nagapattinam,Urban,80+,459,406,53,49,41,8,72,59,13,42,42,0,2,0,2,30,24,6,36,36,0,0,0,0,12,12,0,0,0,0,86,76,10,6,6,0,32,30,2,6,6,0,0,0,0,6,6,0,4,2,2,2,0,2,10,8,2,64,58,6
B0104,`33,`618,District - Nagapattinam,Urban,Age not stated,64,42,22,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,6,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,28,20,8
B0104,`33,`619,District - Thiruvarur,Total,Total,412576,301670,110906,60508,51146,9362,200126,124308,75818,5412,4716,696,474,462,12,4730,3040,1690,14274,12890,1384,1386,1290,96,17164,16522,642,62,62,0,27112,24632,2480,17420,16950,470,6812,6012,800,30,24,6,2274,1978,296,4734,4164,570,9912,8426,1486,15228,5878,9350,2382,1272,1110,22536,17898,4638
B0104,`33,`619,District - Thiruvarur,Total,`5-9,754,423,331,167,99,68,329,186,143,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,10,2,8,222,116,106
B0104,`33,`619,District - Thiruvarur,Total,`10-14,1631,1038,593,250,156,94,853,510,343,12,12,0,6,6,0,8,0,8,54,28,26,0,0,0,20,14,6,0,0,0,76,72,4,50,50,0,2,2,0,0,0,0,0,0,0,2,0,2,18,18,0,32,26,6,26,2,24,222,142,80
B0104,`33,`619,District - Thiruvarur,Total,15-19,12947,9405,3542,898,668,230,6951,4655,2296,144,132,12,12,6,6,100,60,40,618,470,148,22,20,2,1184,1158,26,0,0,0,984,740,244,426,414,12,196,184,12,6,6,0,18,12,6,38,38,0,38,32,6,182,78,104,94,44,50,1036,688,348
B0104,`33,`619,District - Thiruvarur,Total,20-24,33510,24876,8634,2572,2075,497,15678,10247,5431,324,302,22,68,66,2,264,188,76,1708,1466,242,120,108,12,2876,2828,48,0,0,0,2160,1774,386,2296,2204,92,590,562,28,6,0,6,406,296,110,266,188,78,318,240,78,1084,194,890,198,84,114,2576,2054,522
B0104,`33,`619,District - Thiruvarur,Total,25-29,47693,35447,12246,4650,3826,824,22137,13963,8174,614,522,92,32,32,0,412,238,174,2148,1938,210,96,92,4,3234,3158,76,24,24,0,3058,2808,250,3072,2988,84,560,518,42,0,0,0,680,592,88,620,468,152,710,514,196,1924,734,1190,308,158,150,3414,2874,540
